title,release_date,vote_average,runtime,genre_names,,,title,release_date,vote_average,runtime,genre_names
Army of the Dead,2021-05-14,6.3,148,"Action, Crime, Horror, Thriller",,,,,,,
Nobody Sleeps in the Woods Tonight 2,2021-10-27,4.7,97,"Comedy, Horror, Thriller",,,,,,,
Child's Play 2,1990-11-09,6.2,84,"Horror, Thriller",,,,,,,
Halloween,2007-08-31,6.2,109,Horror,,,,,,,
Come Play With Me,2021-02-25,7.0,80,Horror,,,,,,,
La Llorona,2019-07-25,6.4,97,"Drama, Horror, Thriller",,,,,,,
Titane,2021-07-14,6.5,108,"Drama, Horror, Thriller",,,,,,,
Dragon Fury,2021-06-15,6.0,88,"Fantasy, Horror, Mystery",,,,,,,
Carriers,2009-09-04,6.1,84,"Action, Drama, Horror, Science Fiction, Thriller",,,,,,,
Train to Busan,2016-07-20,7.8,118,"Action, Horror, Science Fiction, Thriller",,,,,,,
Saw,2004-10-01,7.4,103,"Crime, Horror, Mystery",,,,,,,
The Whole Truth,2021-12-02,6.3,125,"Drama, Horror, Mystery, Thriller",,,,,,,
Dahmer vs. Gacy,2010-04-24,1.8,90,"Comedy, Horror",,,,,,,
The Purge: Election Year,2016-06-29,6.4,105,"Action, Horror, Thriller",,,,,,,
The Curse of La Llorona,2019-04-17,5.7,93,"Horror, Thriller",,,,,,,
The Secret Life: Jeffrey Dahmer,1993-01-01,5.2,99,"Drama, Horror, Thriller",,,,,,,
Nightbooks,2021-09-15,6.4,103,"Family, Fantasy, Horror",,,,,,,
Wrong Turn,2003-05-30,6.3,84,"Horror, Thriller",,,,,,,
Swim,2021-08-13,6.5,87,"Action, Horror",,,,,,,
Child's Play 3,1991-08-30,5.9,90,"Horror, Thriller",,,,,,,
Hellraiser,2022-09-28,5.8,121,"Horror, Mystery",,,,,,,
The Hunt,2020-03-11,6.7,90,"Action, Horror, Thriller",,,,,,,
Annabelle Comes Home,2019-06-26,6.4,106,"Horror, Mystery, Thriller",,,,,,,
Malignant,2021-09-01,6.9,111,"Horror, Mystery, Thriller",,,,,,,
The Sadness,2021-01-22,6.7,99,"Horror, Thriller",,,,,,,
Prey for the Devil,2022-10-26,0.0,93,"Horror, Thriller",,,,,,,
The Exorcism of Carmen Farias,2021-05-05,6.1,93,Horror,,,,,,,
The Texas Chainsaw Massacre,2003-05-21,6.2,98,Horror,,,,,,,
Split,2016-11-15,7.3,117,"Horror, Thriller",,,,,,,
Before I Wake,2016-04-07,6.4,97,"Drama, Fantasy, Horror, Thriller",,,,,,,
Hereditary,2018-06-07,7.3,128,"Horror, Mystery, Thriller",,,,,,,
Final Destination,2000-03-17,6.6,98,Horror,,,,,,,
Curse of Chucky,2013-10-04,5.9,97,"Horror, Thriller",,,,,,,
Child's Play,2019-06-19,6.0,90,Horror,,,,,,,
Last Night in Soho,2021-10-21,7.5,117,"Fantasy, Horror, Mystery, Thriller",,,,,,,
The Purge,2013-05-31,6.3,86,"Horror, Science Fiction, Thriller",,,,,,,
Annabelle: Creation,2017-08-03,6.6,110,"Horror, Mystery, Thriller",,,,,,,
Son,2021-03-18,6.0,98,"Horror, Thriller",,,,,,,
Tentacles,2021-02-12,6.2,84,"Horror, Romance",,,,,,,
Satanic Pandemonium,1975-06-26,6.6,89,"Horror, Mystery, Thriller",,,,,,,
A Nun's Curse,2020-05-12,6.2,73,Horror,,,,,,,
The Orphanage,2007-05-20,7.2,105,"Drama, Horror, Thriller",,,,,,,
Aquaslash,2019-07-29,4.2,72,"Comedy, Horror",,,,,,,
Hansel & Gretel: Witch Hunters,2013-01-17,6.0,88,"Action, Fantasy, Horror",,,,,,,
Umma,2022-03-18,5.6,83,"Horror, Mystery",,,,,,,
The Ring,2002-10-18,6.6,115,"Horror, Mystery",,,,,,,
Final Destination 5,2011-08-12,6.1,92,"Horror, Mystery",,,,,,,
Alien: Covenant,2017-05-09,6.1,122,"Horror, Mystery, Science Fiction",,,,,,,
Insidious,2010-09-13,6.9,103,"Horror, Thriller",,,,,,,
Aliens vs Predator: Requiem,2007-12-25,5.1,94,"Action, Fantasy, Horror, Science Fiction, Thriller",,,,,,,
Paranormal Activity: The Marked Ones,2014-01-01,5.4,84,"Horror, Thriller",,,,,,,
Goosebumps,2015-08-05,6.3,103,"Adventure, Comedy, Horror",,,,,,,
Freddy vs. Jason,2003-08-15,6.0,97,Horror,,,,,,,
Smile,2013-12-01,0.0,24,"Horror, Thriller",,,,,,,
Paranormal Activity,2007-09-14,6.0,85,"Horror, Mystery",,,,,,,
No One Gets Out Alive,2021-09-29,6.0,85,"Horror, Mystery, Thriller",,,,,,,
Carrie,2002-11-04,6.1,132,"Drama, Horror, TV Movie",,,,,,,
The Craft: Legacy,2020-10-28,6.3,94,"Drama, Fantasy, Horror",,,,,,,
Trick 'r Treat,2007-10-26,7.0,82,Horror,,,,,,,
The Texas Chainsaw Massacre: The Beginning,2006-10-05,6.1,91,"Horror, Thriller",,,,,,,
The Medium,2021-07-14,7.0,131,"Horror, Thriller",,,,,,,
The Witch,2015-01-27,6.9,92,"Drama, Fantasy, Horror, Mystery",,,,,,,
The Cannibal Killer: The Real Story of Jeffrey Dahmer,2020-01-15,2.0,0,Horror,,,,,,,
[REC],2007-11-23,7.2,78,"Horror, Mystery",,,,,,,
Nobody Sleeps in the Woods Tonight,2020-03-13,5.3,102,"Horror, Thriller",,,,,,,
Get Out,2017-02-24,7.6,104,"Horror, Mystery, Thriller",,,,,,,
The Ruins,2008-04-02,5.9,91,Horror,,,,,,,
Annabelle,2014-10-02,5.7,99,Horror,,,,,,,
Halloween 4: The Return of Michael Myers,1988-10-21,6.1,88,"Horror, Thriller",,,,,,,
Insidious: Chapter 2,2013-09-12,6.7,106,"Horror, Thriller",,,,,,,
Scream,1996-12-20,7.4,112,"Crime, Horror, Mystery",,,,,,,
The Scientist,2020-09-21,6.2,94,"Drama, Horror",,,,,,,
The Human Centipede (First Sequence),2009-04-26,5.2,92,Horror,,,,,,,
Underworld: Awakening,2012-01-19,6.3,88,"Action, Fantasy, Horror",,,,,,,
Final Destination 3,2006-02-09,6.1,93,"Horror, Mystery",,,,,,,
Spiral: From the Book of Saw,2021-05-12,6.1,93,"Crime, Horror, Mystery",,,,,,,
Fear Street: 1666,2021-07-14,7.3,114,"Horror, Mystery",,,,,,,
Scouts Guide to the Zombie Apocalypse,2015-10-23,6.5,93,"Comedy, Horror",,,,,,,
Witch Hunt,2021-10-01,6.9,92,"Drama, Fantasy, Horror, Thriller",,,,,,,
Attack on Titan,2015-08-01,5.9,98,"Action, Fantasy, Horror, Science Fiction",,,,,,,
Sinister,2012-03-29,6.8,110,"Horror, Mystery, Thriller",,,,,,,
Zombieland,2009-10-07,7.3,88,"Comedy, Horror",,,,,,,
Goosebumps 2: Haunted Halloween,2018-10-11,6.1,90,"Adventure, Comedy, Family, Fantasy, Horror",,,,,,,
Butchers,2020-10-15,5.0,93,Horror,,,,,,,
The Privilege,2022-02-09,5.1,107,Horror,,,,,,,
Final Destination 2,2003-01-31,6.2,90,"Horror, Mystery",,,,,,,
Benny Loves You,2019-11-21,6.2,94,"Comedy, Horror",,,,,,,
Truth or Dare,2018-04-12,6.0,101,"Horror, Thriller",,,,,,,
A Quiet Place,2018-04-03,7.4,91,"Drama, Horror, Science Fiction",,,,,,,
The Shining,1980-05-23,8.2,144,"Horror, Thriller",,,,,,,
Underworld: Blood Wars,2016-11-24,5.8,91,"Action, Fantasy, Horror, Thriller",,,,,,,
Hellraiser,1987-09-11,6.9,93,"Fantasy, Horror",,,,,,,
House of Wax,2005-04-30,5.9,113,"Horror, Thriller",,,,,,,
The Autopsy of Jane Doe,2016-12-21,6.7,86,"Horror, Mystery",,,,,,,
Peninsula,2020-07-15,6.8,116,"Action, Horror, Thriller",,,,,,,
The Hills Have Eyes,2006-03-10,6.4,107,"Horror, Thriller",,,,,,,
Candyman,2021-08-25,6.1,91,"Horror, Mystery, Thriller",,,,,,,
Dreamcatcher,2021-03-05,6.0,90,"Horror, Mystery, Thriller",,,,,,,
Freddy's Dead: The Final Nightmare,1991-09-05,5.3,89,"Horror, Thriller",,,,,,,
Friday the 13th,2009-02-11,5.8,97,Horror,,,,,,,
The Purge: Anarchy,2014-07-17,6.7,104,"Horror, Thriller",,,,,,,
Alone,2020-09-10,6.3,98,"Horror, Thriller",,,,,,,
The Legend of La Llorona,2011-10-21,7.8,81,"Animation, Family, Fantasy, Horror",,,,,,,
Alien,1979-05-25,8.1,117,"Horror, Science Fiction",,,,,,,
Caged,2021-01-26,6.7,81,"Horror, Thriller",,,,,,,
Terrifier,2016-10-15,6.5,84,"Horror, Thriller",,,,,,,
Escape Room: Tournament of Champions,2021-07-01,6.7,88,"Horror, Mystery, Thriller",,,,,,,
Jennifer's Body,2009-09-18,5.8,107,"Comedy, Horror",,,,,,,
Wrong Turn 6: Last Resort,2014-08-22,5.3,91,Horror,,,,,,,
Saw II,2005-10-28,6.6,89,Horror,,,,,,,
Megalodon,2018-08-10,5.7,90,"Action, Horror, Science Fiction, TV Movie",,,,,,,
Baba Yaga: Terror of the Dark Forest,2020-02-27,5.9,96,Horror,,,,,,,
I See You,2019-09-11,7.0,98,"Crime, Horror, Mystery, Thriller",,,,,,,
Halloween II,2009-08-28,5.4,105,Horror,,,,,,,
Attack on Titan II: End of the World,2015-09-01,5.9,87,"Action, Fantasy, Horror, Science Fiction",,,,,,,
Drag Me to Hell,2009-03-15,6.4,99,"Horror, Thriller",,,,,,,
Dinosaur Hotel,2021-06-11,5.2,77,"Horror, Mystery, Science Fiction",,,,,,,
