release_date,poster_path,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,backdrop_path,genre_names,collection,collection_name
2002-09-20,/1Ayek8ewrkZOcPb96ebuzasiBSh.jpg,2.797,14,5,0,0,103,Released,FALSE,/koUv3iebeDfKMoNDQ6NTxFjsqdO.jpg,"Horror, Thriller",NA,NA
2014-08-11,/g5lV525atqvau5b1pEwFAxIF3zn.jpg,2.796,20,6.8,0,0,21,Released,FALSE,NA,"Horror, Thriller",NA,NA
2016-09-18,/tfqr2Q1b36nGa06xvaMCQuB933c.jpg,2.796,31,5.1,0,0,93,Released,FALSE,/lPX25RT9Haok6YOrWmEBQF0XE9Q.jpg,"Horror, Mystery",NA,NA
2010-02-05,/zQZICHmb51nEcptRkRpQikXqfn1.jpg,2.795,23,6,0,0,75,Released,FALSE,/tF5PM6BExQak5cvQp9zGECAMDwH.jpg,"Horror, Mystery, Thriller",NA,NA
1982-11-01,/ma5TJg6iXzPoHJumYIe5CmLdR6r.jpg,2.795,38,3.9,14000,0,81,Released,FALSE,/uAjSKdHNu8BHCCZU4rdEYEkWabd.jpg,"Horror, Science Fiction",NA,NA
2019-11-26,/tdIU0FBtTl1pZyl5RmvCRCr4Zx1.jpg,2.795,2,6.5,0,0,9,Released,FALSE,/knNPpDXNUHR0TsyHBKZWgRugLMi.jpg,Horror,NA,NA
2003-04-23,/pJImwsfxTFz1eMTykTkdobz9C6Q.jpg,2.794,13,2.8,0,0,82,Released,FALSE,/5QfQUa2ZIij6AlT6xA4R8ywOgam.jpg,Horror,262086,The Brotherhood Collection
1974-05-24,/v2nTYKZmVMvBYu0Cr38BgReWJxa.jpg,2.793,21,5.4,0,0,99,Released,FALSE,/1XN3nk8sVdg1vmbcUSILwa7sy8v.jpg,"Horror, Science Fiction",NA,NA
2012-05-08,/dxCGxa6qCiKb8W6MnEPtigRV9X7.jpg,2.792,4,2.8,0,0,105,Released,FALSE,NA,"Crime, Drama, Horror",NA,NA
2022-05-26,/245HaS030UkKjv7ieLiShWlJ91x.jpg,2.792,2,4,0,0,115,Released,FALSE,/w0sEchLFEuJZwpLz95iEwneCApn.jpg,"Horror, Thriller",632912,The Doll
